No,M,AoA,Cl,Cd,Cp
114,0.736835,2.335856,0.727988,0.015152,-1.210141
115,0.73043,2.475164,0.747789,0.014205,-1.161846
116,0.72658,2.504637,0.747983,0.013353,-0.803016
117,0.726706,2.460718,0.740464,0.013119,-0.784169
118,0.725106,2.521765,0.749044,0.013107,-0.675334
119,0.7253,1.986801,0.649985,0.01092,-0.665756
120,0.739047,2.649841,0.779558,0.018847,-1.266331
121,0.728378,2.411751,0.734001,0.013226,-0.915394
122,0.731555,2.162047,0.693455,0.012555,-1.030466
123,0.733191,2.315257,0.722309,0.01389,-1.180437
124,0.729417,2.219615,0.700755,0.012403,-0.868291
125,0.738933,2.578534,0.768858,0.018099,-1.255116
126,0.723986,2.129229,0.67433,0.011231,-0.653713
127,0.727891,2.041254,0.664958,0.01137,-0.62818
128,0.734425,2.59822,0.770741,0.016519,-1.25312
129,0.725915,1.998106,0.653234,0.011005,-0.652371
130,0.725423,2.322583,0.712775,0.012163,-0.617101
131,0.730691,2.721185,0.788832,0.016264,-1.250793
132,0.72897,2.341752,0.722174,0.012956,-0.91767
133,0.725217,2.438467,0.734138,0.01268,-0.64441
134,0.724868,2.355195,0.717763,0.012215,-0.610784
135,0.733737,2.340555,0.727491,0.014237,-1.194125
136,0.723231,2.311436,0.706882,0.011786,-0.625727
137,0.730715,1.974935,0.657267,0.011508,-0.767415
138,0.723156,2.004705,0.649269,0.010812,-0.698185
139,0.725694,2.312981,0.711594,0.012167,-0.622827
140,0.732435,1.933464,0.652248,0.011607,-0.904067
141,0.723701,2.233921,0.693212,0.011557,-0.634674
142,0.728252,2.215376,0.697814,0.012166,-0.731908
143,0.733666,2.229526,0.707568,0.013462,-1.162843
144,0.724438,2.635441,0.768445,0.013673,-0.682724
145,0.72809,2.085407,0.673545,0.011568,-0.644029
146,0.728551,2.50181,0.75016,0.013853,-1.002857
147,0.729615,2.258189,0.707877,0.012645,-0.917203
148,0.730342,2.344971,0.724496,0.013301,-1.049029
149,0.727423,2.31834,0.715702,0.012504,-0.749079
150,0.732909,2.267556,0.71342,0.013484,-1.154904
151,0.724461,2.36052,0.718185,0.012173,-0.608244
152,0.734927,2.645258,0.778043,0.017125,-1.262631
153,0.726944,1.720663,0.602748,0.010401,-0.697071
154,0.73231,2.17345,0.69614,0.012779,-1.095881
155,0.743255,2.367883,0.735433,0.017828,-1.222369
156,0.728322,2.46364,0.742732,0.013525,-0.94477
